Z,Symbol,Element,Period,Group
1,H,hydrogen,1,1
2,He,helium,1,18
3,Li,lithium,2,1
4,Be,beryllium,2,2
5,B,boron,2,13
6,C,carbon,2,14
7,N,nitrogen,2,15
8,O,oxygen,2,16
9,F,fluorine,2,17
10,Ne,neon,2,18
11,Na,sodium,3,1
12,Mg,magnesium,3,2
13,Al,aluminium,3,13
14,Si,silicon,3,14
15,P,phosphorus,3,15
16,S,sulfur,3,16
17,Cl,chlorine,3,17
18,Ar,potassium,3,18
19,K,argon,4,1
20,Ca,calcium,4,2
21,Sc,scandium,4,3
22,Ti,titanium,4,4
23,V,vanadium,4,5
24,Cr,chromium,4,6
25,Mn,manganese,4,7
26,Fe,iron,4,8
27,Co,nickel,4,9
28,Ni,cobalt,4,10
29,Cu,copper,4,11
30,Zn,zinc,4,12
31,Ga,gallium,4,13
32,Ge,germanium,4,14
33,As,arsenic,4,15
34,Se,selenium,4,16
35,Br,bromine,4,17
36,Kr,krypton,4,18
37,Rb,rubidium,5,1
38,Sr,strontium,5,2
39,Y,yttrium,5,3
40,Zr,zirconium,5,4
41,Nb,niobium,5,5
42,Mo,molybdenum,5,6
43,Tc,technetium,5,7
44,Ru,ruthenium,5,8
45,Rh,rhodium,5,9
46,Pd,palladium,5,10
47,Ag,silver,5,11
48,Cd,cadmium,5,12
49,In,indium,5,13
50,Sn,tin,5,14
51,Sb,antimony,5,15
52,Te,iodine,5,16
53,I,tellurium,5,17
54,Xe,xenon,5,18
55,Cs,caesium,6,1
56,Ba,barium,6,2
57,La,lanthanum,6,19
58,Ce,cerium,6,20
59,Pr,praseodymium,6,21
60,Nd,neodymium,6,22
61,Pm,promethium,6,23
62,Sm,samarium,6,24
63,Eu,europium,6,25
64,Gd,gadolinium,6,26
65,Tb,terbium,6,27
66,Dy,dysprosium,6,28
67,Ho,holmium,6,29
68,Er,erbium,6,30
69,Tm,thulium,6,31
70,Yb,ytterbium,6,32
71,Lu,lutetium,6,3
72,Hf,hafnium,6,4
73,Ta,tantalum,6,5
74,W,tungsten,6,6
75,Re,rhenium,6,7
76,Os,osmium,6,8
77,Ir,iridium,6,9
78,Pt,platinum,6,10
79,Au,gold,6,11
80,Hg,mercury,6,12
81,Tl,thallium,6,13
82,Pb,lead,6,14
83,Bi,bismuth,6,15
84,Po,polonium,6,16
85,At,astatine,6,17
86,Rn,radon,6,18
87,Fr,francium,7,1
88,Ra,radium,7,2
89,Ac,actinium,7,19
90,Th,thorium,7,20
91,Pa,protactinium,7,21
92,U,uranium,7,22
93,Np,neptunium,7,23
94,Pu,plutonium,7,24
95,Am,americium,7,25
96,Cm,curium,7,26
97,Bk,berkelium,7,27
98,Cf,californium,7,28
99,Es,einsteinium,7,29
100,Fm,fermium,7,30
101,Md,mendelevium,7,31
102,No,nobelium,7,32
103,Lr,lawrencium,7,3
104,Rf,rutherfordium,7,4
105,Db,dubnium,7,5
106,Sg,seaborgium,7,6
107,Bh,bohrium,7,7
108,Hs,hassium,7,8
109,Mt,meitnerium,7,9
110,Ds,darmstadtium,7,10
111,Rg,roentgenium,7,11
112,Cn,copernicium,7,12
113,Nh,nihonium,7,13
114,Fl,flerovium,7,14
115,Mc,moscovium,7,15
116,Lv,livermorium,7,16
117,Ts,tennessine,7,17
118,Og,oganesson,7,18
